thr,treat,date,fips,Z,G,tau_dir_log,tau_peer_log,tau_overall_log,sigma_log
0.25,vax2,2021-02-15,2100,1,0.0,-0.0049071419559242446,0.0,-0.0049071419559242446,0.027373177276530904
0.25,vax2,2021-02-15,2105,1,0.0,-0.26193091913840755,0.0,-0.26193091913840755,0.027373177276530904
0.25,vax2,2021-02-15,2110,1,0.0,-0.015828743337475183,0.0,-0.015828743337475183,0.027373177276530904
0.25,vax2,2021-02-15,2122,1,0.0,-0.024245854192475727,0.0,-0.024245854192475727,0.027373177276530904
0.25,vax2,2021-02-15,2130,1,0.0,0.023312549590661823,0.0,0.023312549590661823,0.027373177276530904
0.25,vax2,2021-02-15,2150,1,0.0,-0.015340786921718811,0.0,-0.015340786921718811,0.027373177276530904
0.25,vax2,2021-02-15,2164,1,0.0,-0.2551887557032958,0.0,-0.2551887557032958,0.027373177276530904
0.25,vax2,2021-02-15,2170,0,0.0,-0.0329609292279935,0.0,-0.0329609292279935,0.027373177276530904
0.25,vax2,2021-02-15,2180,1,0.0,-0.005939110962524375,0.0,-0.005939110962524375,0.027373177276530904
0.25,vax2,2021-02-15,2185,1,0.0,-0.0055962629038653205,0.0,-0.0055962629038653205,0.027373177276530904
0.25,vax2,2021-02-15,2188,1,0.0,0.00813248093655843,0.0,0.00813248093655843,0.027373177276530904
0.25,vax2,2021-02-15,2195,1,0.0,0.1552461341528052,0.0,0.1552461341528052,0.027373177276530904
0.25,vax2,2021-02-15,2198,1,0.0,-0.027574449881671972,0.0,-0.027574449881671972,0.027373177276530904
0.25,vax2,2021-02-15,2220,1,0.0,-0.01762351645291971,0.0,-0.01762351645291971,0.027373177276530904
0.25,vax2,2021-02-15,2230,1,0.0,0.010658552176341348,0.0,0.010658552176341348,0.027373177276530904
0.25,vax2,2021-02-15,2240,1,0.0,-0.0009628411701816681,0.0,-0.0009628411701816681,0.027373177276530904
0.25,vax2,2021-02-15,2261,1,0.0,-0.023568034386121883,0.0,-0.023568034386121883,0.027373177276530904
0.25,vax2,2021-02-15,2275,1,0.0,-0.013515383668582343,0.0,-0.013515383668582343,0.027373177276530904
0.25,vax2,2021-02-15,2282,1,0.0,-0.24232108291675028,0.0,-0.24232108291675028,0.027373177276530904
0.25,vax2,2021-02-15,2290,1,0.0,0.045362776256631265,0.0,0.045362776256631265,0.027373177276530904
0.25,vax2,2021-02-15,4001,1,0.0,-0.0022992410652410335,0.0,-0.0022992410652410335,0.027373177276530904
0.25,vax2,2021-02-15,4003,0,0.0,-0.024365075573499307,0.0,-0.024365075573499307,0.027373177276530904
0.25,vax2,2021-02-15,4005,1,0.0,-0.01458739874530654,0.0,-0.01458739874530654,0.027373177276530904
0.25,vax2,2021-02-15,4007,1,0.0,-0.007099422551298943,0.0,-0.007099422551298943,0.027373177276530904
0.25,vax2,2021-02-15,4009,0,0.0,-0.04331761393321862,0.0,-0.04331761393321862,0.027373177276530904
0.25,vax2,2021-02-15,4011,0,0.0,-0.03386025679032683,0.0,-0.03386025679032683,0.027373177276530904
0.25,vax2,2021-02-15,4012,0,0.0,-0.005287700725008786,0.0,-0.005287700725008786,0.027373177276530904
0.25,vax2,2021-02-15,4013,0,0.0,-0.018068911438205014,0.0,-0.018068911438205014,0.027373177276530904
0.25,vax2,2021-02-15,4015,0,0.0,-0.03564699197678341,0.0,-0.03564699197678341,0.027373177276530904
0.25,vax2,2021-02-15,4017,1,0.0,-0.019354067512597953,0.0,-0.019354067512597953,0.027373177276530904
0.25,vax2,2021-02-15,4019,0,0.0,-0.046110876196847866,0.0,-0.046110876196847866,0.027373177276530904
0.25,vax2,2021-02-15,4021,0,0.0,-0.020280279177350438,0.0,-0.020280279177350438,0.027373177276530904
0.25,vax2,2021-02-15,4023,0,0.0,-0.004195497752649447,0.0,-0.004195497752649447,0.027373177276530904
0.25,vax2,2021-02-15,4025,0,0.0,-0.018190977583822092,0.0,-0.018190977583822092,0.027373177276530904
0.25,vax2,2021-02-15,4027,0,0.0,0.03188587795613562,0.0,0.03188587795613562,0.027373177276530904
0.25,vax2,2021-02-15,5001,0,0.0,-0.015177364396306589,0.0,-0.015177364396306589,0.027373177276530904
0.25,vax2,2021-02-15,5003,0,0.0,-0.03317132092578733,0.0,-0.03317132092578733,0.027373177276530904
0.25,vax2,2021-02-15,5005,1,0.0,-0.006615929222724321,0.0,-0.006615929222724321,0.027373177276530904
0.25,vax2,2021-02-15,5007,0,0.0,0.011369866652782416,0.0,0.011369866652782416,0.027373177276530904
0.25,vax2,2021-02-15,5009,1,0.0,0.008138354799206805,0.0,0.008138354799206805,0.027373177276530904
0.25,vax2,2021-02-15,5011,0,0.0,-0.017441611647565126,0.0,-0.017441611647565126,0.027373177276530904
0.25,vax2,2021-02-15,5013,0,0.0,-0.05112902607063887,0.0,-0.05112902607063887,0.027373177276530904
0.25,vax2,2021-02-15,5015,0,0.0,0.006381877316530381,0.0,0.006381877316530381,0.027373177276530904
0.25,vax2,2021-02-15,5017,0,0.0,0.018119409113325238,0.0,0.018119409113325238,0.027373177276530904
0.25,vax2,2021-02-15,5019,0,0.0,-0.030872935540607067,0.0,-0.030872935540607067,0.027373177276530904
0.25,vax2,2021-02-15,5021,1,0.0,-0.011491121609048298,0.0,-0.011491121609048298,0.027373177276530904
0.25,vax2,2021-02-15,5023,0,0.0,0.000128840078207384,0.0,0.000128840078207384,0.027373177276530904
0.25,vax2,2021-02-15,5025,0,0.0,-0.021652333807596496,0.0,-0.021652333807596496,0.027373177276530904
0.25,vax2,2021-02-15,5027,0,0.0,-0.008438948713334823,0.0,-0.008438948713334823,0.027373177276530904
0.25,vax2,2021-02-15,5029,0,0.0,-0.031358556182784,0.0,-0.031358556182784,0.027373177276530904
0.25,vax2,2021-02-15,5031,1,0.0,-0.022781159425494482,0.0,-0.022781159425494482,0.027373177276530904
0.25,vax2,2021-02-15,5033,0,0.0,-0.008747111239257527,0.0,-0.008747111239257527,0.027373177276530904
